invoice_id,item_id,quantity
43,0-668-16718-1,2
43,1-01-376732-2,2
43,1-933260-00-9,4
43,1-04-310548-4,1
43,1-884638-12-0,3
43,1-237-95200-X,2
43,1-320-98453-3,2
44,1-5437-3256-9,2
44,1-65593-056-7,1
44,0-489-42461-9,2
44,0-383-11312-1,4
44,1-00-096050-1,2
44,1-9751-8430-0,4
44,1-278-82083-3,2
45,1-69103-395-2,3
45,0-14-678009-4,3
46,0-88310-438-5,2
46,0-16-871315-2,1
46,1-4257-3976-8,3
46,1-5339-0165-1,1
46,0-232-08154-9,4
46,1-84426-958-2,2
46,0-02-380423-8,2
46,0-8216-5501-9,2
47,0-592-74293-8,1
47,1-4494-5955-2,1
47,1-237-95200-X,3
47,1-60642-190-5,1
47,0-682-99878-8,4
47,0-7631-7289-8,4
48,0-88310-438-5,1
48,0-351-94756-6,3
48,0-7141-8546-9,4
48,1-66068-167-7,1
48,1-164-11369-0,4
49,0-311-52527-X,2
49,1-107-39856-8,2
49,1-158-30233-9,4
49,0-86177-963-0,2
49,0-7141-8546-9,4
49,1-354-00803-0,3
50,1-320-98453-3,4
50,0-493-95641-7,4
50,0-469-21982-3,2
50,1-71447-910-2,4
50,1-00-166641-0,1
50,0-383-11312-1,4
50,1-60642-190-5,3
50,1-164-11369-0,1
51,0-02-380423-8,1
51,1-320-98453-3,2
51,1-83164-707-9,2
51,0-9514693-2-0,1
52,1-66068-167-7,3
52,1-82092-463-7,3
52,0-18-258946-3,1
52,1-71447-910-2,1
52,0-06-087973-4,1
52,0-596-89331-0,3
52,0-7631-7289-8,3
53,0-248-44413-1,2
53,1-229-04757-3,3
54,0-9514693-2-0,1
54,0-02-947686-0,4
54,1-160-77306-8,1
54,1-4494-5955-2,1
54,0-9878492-7-1,3
54,1-118-05964-6,4
54,1-184-45618-6,4
55,1-59126-379-4,3
55,1-4545-6428-8,4
55,0-86177-963-0,3
55,1-82092-463-7,2
55,0-447-44840-4,1
55,1-66068-167-7,2
55,1-00-096050-1,3
55,1-890677-17-5,1
56,0-18-258946-3,4
56,0-86177-963-0,4
57,1-239-86834-0,1
57,1-164-11369-0,2
57,1-70408-579-9,1
57,1-890677-17-5,2
57,1-965813-56-9,1
57,1-129-18864-7,4
57,1-237-95200-X,1
57,0-592-74293-8,1
57,1-5437-3256-9,2
58,1-4494-5955-2,1
58,1-4457-9816-6,2
58,0-02-380423-8,2
58,1-60642-190-5,4
58,1-965813-56-9,4
58,0-688-92085-3,1
58,1-64504-451-3,4
59,0-8216-5501-9,4
59,0-383-11312-1,1
59,0-351-94756-6,3
60,1-207-93326-0,4
60,0-8007-9637-3,4
61,1-59157-301-7,1
61,1-107-39856-8,1
62,1-56486-493-6,2
62,0-239-93663-9,3
62,1-4457-9816-6,1
62,1-890677-17-5,1
62,1-4274-3175-2,2
62,1-164-11369-0,4
62,1-75223-297-6,3
63,1-00-166641-0,4
63,1-5220-1394-6,3
63,0-12-286448-4,3
63,1-237-95200-X,2
64,0-289-91901-0,4
64,1-965813-56-9,1
64,0-257-20790-2,4
64,1-208-92581-4,4
64,1-4083-0399-X,1
64,0-311-52527-X,3
64,0-942663-19-5,2
64,0-493-95641-7,3
65,0-16-871315-2,1
65,0-688-92085-3,2
65,1-890677-17-5,2
65,1-4407-1966-7,2
65,0-469-21982-3,2
65,1-56486-493-6,4
65,0-18-258946-3,2
65,0-232-08154-9,1
65,0-667-81667-4,4
66,0-476-73108-9,3
66,1-01-376732-2,3
66,1-965813-56-9,3
67,0-8189-0617-0,3
67,1-933260-00-9,2
67,0-14-678009-4,1
67,0-458-05510-7,4
67,0-383-11312-1,4
67,0-9514693-2-0,3
67,0-667-81667-4,2
67,1-65593-056-7,1
68,1-965813-56-9,2
68,0-8153-0450-1,4
68,0-7127-8604-X,2
68,0-682-99878-8,2
69,1-00-166641-0,3
69,1-320-98453-3,2
69,1-118-05964-6,2
69,1-239-86834-0,3
69,0-14-678009-4,4
69,1-354-00803-0,2
69,1-965813-56-9,3
69,1-207-93326-0,3
70,0-8007-9637-3,1
70,1-890677-17-5,4
70,0-469-21982-3,2
70,1-4494-5955-2,4
70,0-688-92085-3,2
70,1-71447-910-2,2
70,1-5220-1394-6,1
70,0-596-89331-0,2
70,1-354-00803-0,4
71,0-248-44413-1,1
71,1-184-45618-6,4
71,0-688-92085-3,3
71,1-59157-301-7,4
71,1-4467-6096-0,1
72,1-65593-056-7,4
72,1-5220-1394-6,3
72,0-06-087973-4,4
72,0-88310-438-5,3
72,1-59157-301-7,4
72,0-668-16718-1,4
73,0-16-871315-2,1
73,1-66068-167-7,2
73,1-4545-6428-8,3
73,1-160-77306-8,1
74,0-458-05510-7,2
74,1-56486-493-6,1
74,1-59157-301-7,4
74,1-4457-9816-6,1
75,0-7141-8546-9,3
75,1-227-05897-7,1
75,1-5220-1394-6,2
75,0-365-25576-9,2
75,1-59157-301-7,1
75,1-70408-579-9,1
75,0-682-99878-8,2
75,1-4407-1966-7,4
75,0-667-81667-4,2
76,0-688-92085-3,1
76,1-71447-910-2,1
77,1-66068-167-7,4
77,1-208-92581-4,2
77,1-107-39856-8,3
77,1-84426-958-2,1
77,0-01-717479-1,2
78,1-118-05964-6,2
78,1-239-86834-0,4
78,0-351-94756-6,2
78,1-222-32214-5,4
78,1-67777-184-4,3
79,1-4476-3417-9,2
79,1-01-376732-2,3
79,0-239-93663-9,2
79,1-160-77306-8,2
79,0-311-52527-X,3
79,1-69103-395-2,4
79,0-232-08154-9,1
79,1-965813-56-9,4
79,0-7127-8604-X,2
80,0-469-21982-3,4
80,0-9514693-2-0,3
80,1-64504-451-3,4
80,1-129-18864-7,1
80,0-7631-7289-8,1
80,0-9878492-7-1,3
80,1-207-93326-0,2
80,0-18-258946-3,1
80,1-160-77306-8,3
81,0-289-91901-0,2
81,0-248-44413-1,3
81,1-9751-8430-0,4
81,1-884638-12-0,2
81,1-64504-451-3,1
81,1-107-39856-8,3
81,0-16-871315-2,1
81,0-942663-19-5,4
81,0-489-42461-9,1
82,0-01-717479-1,3
82,0-302-41872-5,4
82,0-86177-963-0,1
82,1-4457-9816-6,1
82,0-257-20790-2,3
82,1-239-86834-0,2
82,1-5220-1394-6,2
82,1-83164-707-9,2
82,0-7631-7289-8,2
83,0-688-92085-3,3
83,1-158-30233-9,3
83,1-184-45618-6,3
83,0-365-25576-9,3
83,1-4545-6428-8,2
83,0-8189-0617-0,4
83,0-9514693-2-0,4
83,0-01-717479-1,4
83,0-942663-19-5,2
84,1-84426-958-2,4
84,1-222-32214-5,3
84,0-365-25576-9,1
84,1-69103-395-2,4
84,1-208-92581-4,2
84,0-8216-5501-9,2
84,0-476-73108-9,4
84,0-9878492-7-1,4
84,1-890677-17-5,2
85,0-592-74293-8,1
85,0-383-11312-1,4
85,0-289-91901-0,1
85,1-82092-463-7,1
85,0-8153-0450-1,2
85,1-222-32214-5,2
85,0-682-99878-8,1
85,1-70408-579-9,2
85,1-4257-3976-8,1
86,0-311-52527-X,1
86,1-4476-3417-9,3
86,0-7141-8546-9,1
86,1-239-86834-0,1
86,0-8216-5501-9,1
86,1-9751-8430-0,3
86,0-257-20790-2,3
87,1-9751-8430-0,1
87,0-88310-438-5,1
87,1-118-05964-6,4
87,0-8007-9637-3,3
88,1-00-096050-1,4
88,1-118-05964-6,3
88,1-4494-5955-2,2
88,1-237-95200-X,2
88,1-67777-184-4,2
88,0-8007-9637-3,4
88,1-56486-493-6,3
88,1-890677-17-5,4
88,0-592-74293-8,4
89,0-02-947686-0,1
89,0-7127-8604-X,1
89,0-06-087973-4,2
89,1-4274-3175-2,1
89,0-596-89331-0,3
89,0-682-99878-8,4
89,1-229-04757-3,3
89,1-129-18864-7,4
89,1-4083-0399-X,4
90,0-577-58554-1,4
90,0-383-11312-1,3
90,1-4407-1966-7,1
90,1-82092-463-7,3
90,0-9514693-2-0,3
90,1-5220-1394-6,1
90,0-87173-237-8,1
90,1-4457-9816-6,3
90,0-232-08154-9,2
91,1-933260-00-9,1
91,1-66068-167-7,3
91,0-8216-5501-9,3
91,0-248-44413-1,2
91,1-4457-9816-6,2
91,1-83164-707-9,1
91,0-688-92085-3,1
91,1-320-98453-3,2
92,0-458-05510-7,4
92,0-668-16718-1,1
92,0-311-52527-X,4
93,0-351-94756-6,1
93,0-302-41872-5,1
93,1-4467-6096-0,1
93,1-222-32214-5,4
93,0-257-20790-2,3
93,1-67482-003-8,1
93,0-8216-5501-9,3
94,1-69103-395-2,1
94,1-00-166641-0,1
95,0-577-58554-1,3
95,1-00-166641-0,2
95,1-59157-301-7,1
95,1-208-92581-4,3
95,1-184-45618-6,2
95,0-458-05510-7,3
95,1-4494-5955-2,1
95,0-469-21982-3,2
96,1-82092-463-7,2
96,0-539-97347-5,2
97,1-884638-12-0,1
97,1-59126-379-4,3
97,0-383-11312-1,2
97,1-4545-6428-8,2
97,0-489-42461-9,1
97,1-5220-1394-6,2
97,1-4457-9816-6,2
97,0-682-99878-8,1
98,1-107-39856-8,4
98,0-688-92085-3,1
98,1-890677-17-5,1
98,0-469-21982-3,4
98,0-682-99878-8,1
98,1-320-98453-3,1
98,0-14-678009-4,3
98,1-00-166641-0,4
98,1-69103-395-2,4
99,1-4545-6428-8,3
99,1-890677-17-5,3
99,0-232-08154-9,3
99,0-447-44840-4,3
100,1-107-39856-8,1
100,1-4407-1966-7,1
100,1-890677-17-5,1
100,1-184-45618-6,4
100,0-476-73108-9,1
100,0-7141-8546-9,2
100,1-59126-379-4,2
100,0-592-74293-8,4
100,1-207-93326-0,3
101,1-9751-8430-0,4
101,1-4083-0399-X,3
102,0-311-52527-X,4
102,1-4476-3417-9,1
103,1-60642-190-5,2
103,0-239-93663-9,1
103,0-447-44840-4,1
104,0-8153-0450-1,4
104,0-289-91901-0,3
105,0-14-678009-4,1
105,1-933260-00-9,1
105,0-539-97347-5,1
106,1-164-11369-0,1
106,0-8189-0617-0,3
106,1-5437-3256-9,3
106,0-05-597353-1,1
107,0-289-91901-0,2
107,1-208-92581-4,1
107,1-222-32214-5,3
107,0-14-678009-4,2
108,1-5339-0165-1,3
108,1-4083-0399-X,2
108,0-14-678009-4,4
108,0-9514693-2-0,3
108,1-239-86834-0,1
108,0-447-44840-4,1
108,0-302-41872-5,4
108,0-12-286448-4,3
109,0-8153-0450-1,2
109,1-4476-3417-9,1
109,1-83164-707-9,3
110,0-493-95641-7,3
110,1-4494-5955-2,2
110,0-289-91901-0,1
110,0-248-44413-1,4
110,1-884638-12-0,1
110,1-5339-0165-1,3
111,1-118-05964-6,4
111,0-86177-963-0,1
111,1-69103-395-2,2
112,0-447-44840-4,1
112,0-458-05510-7,1
112,1-884638-12-0,4
112,1-4545-6428-8,2
112,0-8216-5501-9,1
112,0-289-91901-0,3
112,1-118-05964-6,2
113,1-59157-301-7,4
113,1-884638-12-0,4
113,1-237-95200-X,3
113,0-539-97347-5,1
113,1-5339-0165-1,4
113,1-890677-17-5,4
113,0-86177-963-0,4
113,1-04-310548-4,1
114,1-4274-3175-2,2
114,1-64504-451-3,3
114,1-82092-463-7,2
114,1-04-310548-4,3
114,1-67482-003-8,3
114,0-06-087973-4,3
114,1-4545-6428-8,1
114,0-248-44413-1,3
115,1-4545-6428-8,2
115,1-227-05897-7,3
115,0-539-97347-5,2
115,1-184-45618-6,3
115,0-302-41872-5,1
116,0-351-94756-6,1
116,1-4476-3417-9,3
116,1-67777-184-4,2
116,1-227-05897-7,2
116,0-539-97347-5,1
116,0-476-73108-9,3
116,0-458-05510-7,2
117,0-02-380423-8,1
117,1-59126-379-4,2
117,0-311-52527-X,1
117,0-06-087973-4,3
117,1-207-93326-0,2
118,1-160-77306-8,1
118,1-354-00803-0,3
118,1-933260-00-9,1
118,1-118-05964-6,3
118,0-12-286448-4,3
118,0-01-717479-1,2
118,1-884638-12-0,3
119,1-83164-707-9,2
119,1-320-98453-3,1
119,0-8189-0617-0,3
120,1-4457-9816-6,4
120,1-59157-301-7,4
120,0-7631-7289-8,4
120,0-257-20790-2,3
120,1-5437-3256-9,1
121,0-476-73108-9,3
121,0-02-947686-0,4
121,0-8189-0617-0,2
121,0-232-08154-9,3
121,1-5437-3256-9,2
121,1-75223-297-6,2
121,0-9514693-2-0,1
122,1-59157-301-7,1
122,1-227-05897-7,3
122,0-02-380423-8,2
122,1-60642-190-5,2
122,1-320-98453-3,4
123,0-596-89331-0,4
123,1-227-05897-7,1
123,0-01-717479-1,3
123,0-351-94756-6,1
123,0-458-05510-7,4
123,0-14-678009-4,3
123,1-4274-3175-2,3
123,1-83164-707-9,1
124,1-229-04757-3,1
124,0-232-08154-9,4
124,0-86177-963-0,3
124,1-00-096050-1,1
124,0-682-99878-8,1
124,0-7127-8604-X,4
125,1-9751-8430-0,1
125,1-884638-12-0,1
126,1-320-98453-3,3
126,1-229-04757-3,2
126,1-965813-56-9,4
126,1-354-00803-0,2
126,1-227-05897-7,2
126,0-596-89331-0,3
126,0-365-25576-9,4
126,0-682-99878-8,3
126,1-00-166641-0,1
127,1-965813-56-9,2
127,0-688-92085-3,3
127,1-4083-0399-X,4
127,1-184-45618-6,4
127,1-01-376732-2,4
127,0-232-08154-9,3
127,0-458-05510-7,2
128,1-59157-301-7,3
128,1-70408-579-9,1
128,0-01-717479-1,1
128,0-489-42461-9,1
128,1-229-04757-3,2
129,0-02-380423-8,4
129,1-75223-297-6,1
130,1-70408-579-9,2
130,0-02-947686-0,1
131,1-59126-379-4,4
131,0-16-871315-2,2
131,0-447-44840-4,3
131,0-05-597353-1,3
131,0-257-20790-2,2
131,1-118-05964-6,2
131,0-87173-237-8,1
132,0-577-58554-1,1
132,0-592-74293-8,1
132,1-56486-493-6,3
133,0-232-08154-9,3
133,0-87173-237-8,4
133,1-890677-17-5,3
133,0-8153-0450-1,4
133,0-682-99878-8,1
133,1-965813-56-9,3
133,1-67482-003-8,4
133,0-88310-438-5,2
133,1-184-45618-6,4
134,0-476-73108-9,1
134,1-4545-6428-8,1
134,1-354-00803-0,1
134,0-493-95641-7,3
134,0-88310-438-5,4
135,1-65593-056-7,1
135,1-4545-6428-8,4
135,0-06-087973-4,2
135,1-890677-17-5,4
135,1-158-30233-9,4
135,1-4494-5955-2,3
135,1-01-376732-2,1
135,1-84426-958-2,3
136,0-12-286448-4,1
136,0-7127-8604-X,4
136,1-278-82083-3,2
136,1-4274-3175-2,4
136,0-06-087973-4,3
136,1-4407-1966-7,3
136,0-9878492-7-1,1
137,0-667-81667-4,3
137,1-4457-9816-6,1
138,1-207-93326-0,2
138,0-682-99878-8,3
138,1-965813-56-9,2
138,1-227-05897-7,3
138,0-942663-19-5,2
139,0-8216-5501-9,4
139,0-8007-9637-3,3
139,1-67482-003-8,2
139,0-476-73108-9,4
139,0-232-08154-9,4
139,1-320-98453-3,4
139,0-16-871315-2,2
139,1-4457-9816-6,3
140,0-14-678009-4,1
140,0-86177-963-0,3
140,0-351-94756-6,2
140,0-8189-0617-0,3
140,1-4407-1966-7,2
140,1-59157-301-7,1
141,0-8007-9637-3,1
141,1-239-86834-0,3
141,0-577-58554-1,4
141,0-592-74293-8,1
141,1-158-30233-9,3
141,1-5437-3256-9,3
141,1-222-32214-5,4
141,1-70408-579-9,2
141,0-02-380423-8,1
142,0-8007-9637-3,4
142,1-56486-493-6,4
142,1-158-30233-9,3
142,1-83164-707-9,3
142,1-82092-463-7,3
142,0-232-08154-9,1
142,1-59157-301-7,3
142,0-351-94756-6,3
142,1-67777-184-4,3
143,0-06-087973-4,1
143,0-01-717479-1,2
143,1-107-39856-8,3
143,0-88310-438-5,3
143,1-4545-6428-8,1
143,0-05-597353-1,2
144,1-00-096050-1,1
144,1-60642-190-5,1
144,1-4467-6096-0,1
144,0-257-20790-2,2
144,0-493-95641-7,4
144,1-00-166641-0,4
144,1-75223-297-6,2
144,0-8153-0450-1,3
144,0-248-44413-1,3
145,0-8189-0617-0,1
145,0-05-597353-1,4
146,1-184-45618-6,4
146,0-257-20790-2,1
146,1-320-98453-3,1
146,0-9514693-2-0,2
146,1-4457-9816-6,3
146,0-942663-19-5,4
146,0-7141-8546-9,3
146,0-489-42461-9,2
147,1-884638-12-0,3
147,0-16-871315-2,4
147,1-82092-463-7,1
147,0-8153-0450-1,4
147,1-9751-8430-0,4
147,1-933260-00-9,4
147,1-4494-5955-2,4
147,0-383-11312-1,3
147,0-86177-963-0,1
148,1-9751-8430-0,4
148,1-67777-184-4,3
148,0-248-44413-1,2
149,0-239-93663-9,2
149,1-129-18864-7,1
149,1-66068-167-7,4
149,1-208-92581-4,1
149,1-9751-8430-0,2
149,1-184-45618-6,2
150,0-88310-438-5,3
150,1-884638-12-0,2
150,1-00-166641-0,4
150,0-8153-0450-1,2
150,0-8007-9637-3,2
150,0-668-16718-1,2
150,0-592-74293-8,2
150,0-7631-7289-8,4
151,1-278-82083-3,3
151,0-596-89331-0,4
151,1-207-93326-0,4
151,1-239-86834-0,3
151,1-82092-463-7,3
152,1-160-77306-8,2
152,0-447-44840-4,1
152,1-4457-9816-6,3
152,0-257-20790-2,2
152,1-56486-493-6,1
152,1-71447-910-2,3
152,0-365-25576-9,2
152,1-59157-301-7,4
153,1-227-05897-7,2
153,1-75223-297-6,3
153,1-00-096050-1,3
154,0-383-11312-1,4
154,0-469-21982-3,4
154,1-207-93326-0,3
154,0-87173-237-8,4
154,1-66068-167-7,3
154,1-208-92581-4,4
154,1-71447-910-2,1
154,0-8216-5501-9,1
155,0-682-99878-8,4
155,0-248-44413-1,2
155,0-239-93663-9,1
155,1-4457-9816-6,2
155,1-320-98453-3,1
155,1-70408-579-9,4
155,0-87173-237-8,2
155,1-160-77306-8,1
156,1-04-310548-4,4
156,1-4274-3175-2,1
156,0-248-44413-1,1
156,1-107-39856-8,1
156,1-229-04757-3,3
157,0-539-97347-5,2
157,1-160-77306-8,1
157,1-320-98453-3,3
158,0-12-286448-4,3
158,1-965813-56-9,1
158,0-232-08154-9,3
159,1-67482-003-8,4
159,1-933260-00-9,4
159,1-5437-3256-9,4
159,1-4467-6096-0,2
159,1-890677-17-5,1
159,0-8216-5501-9,1
159,0-14-678009-4,3
159,1-207-93326-0,1
159,0-8153-0450-1,4
160,1-82092-463-7,1
160,0-577-58554-1,1
160,1-4545-6428-8,1
160,1-75223-297-6,4
161,0-489-42461-9,4
161,1-208-92581-4,2
161,0-9514693-2-0,1
161,0-12-286448-4,4
161,0-539-97347-5,2
162,0-8007-9637-3,4
162,1-320-98453-3,3
162,0-01-717479-1,1
162,1-64504-451-3,1
162,0-248-44413-1,2
162,1-4476-3417-9,3
163,0-311-52527-X,2
163,1-227-05897-7,3
163,0-8153-0450-1,1
163,0-88310-438-5,1
163,0-87173-237-8,1
163,1-164-11369-0,3
163,0-232-08154-9,2
164,1-160-77306-8,4
164,1-229-04757-3,3
164,0-302-41872-5,4
164,0-232-08154-9,4
164,1-118-05964-6,1
164,1-207-93326-0,1
164,1-4457-9816-6,4
164,1-4467-6096-0,1
165,0-7141-8546-9,1
165,1-890677-17-5,3
165,1-227-05897-7,2
165,0-539-97347-5,4
165,0-667-81667-4,4
165,0-365-25576-9,4
165,1-59157-301-7,4
166,0-489-42461-9,3
166,1-59157-301-7,1
166,1-4274-3175-2,2
166,0-539-97347-5,3
166,0-02-380423-8,3
167,1-884638-12-0,2
167,0-88310-438-5,2
167,1-239-86834-0,2
167,0-577-58554-1,1
167,0-682-99878-8,4
167,0-14-678009-4,2
167,1-222-32214-5,2
167,1-229-04757-3,2
167,0-458-05510-7,3
168,0-02-380423-8,4
168,1-64504-451-3,3
169,1-227-05897-7,1
169,0-8189-0617-0,1
169,0-06-087973-4,2
169,0-14-678009-4,1
169,1-01-376732-2,1
170,1-184-45618-6,2
170,0-8216-5501-9,3
170,0-942663-19-5,4
170,1-129-18864-7,1
170,0-667-81667-4,2
171,0-02-947686-0,2
171,1-01-376732-2,1
171,1-208-92581-4,4
172,1-83164-707-9,2
172,0-682-99878-8,3
172,1-118-05964-6,1
173,0-02-947686-0,3
173,1-4476-3417-9,4
173,0-9878492-7-1,3
173,0-232-08154-9,3
173,1-933260-00-9,2
174,1-4467-6096-0,1
174,0-7631-7289-8,2
174,1-4274-3175-2,2
174,1-4545-6428-8,2
175,1-4467-6096-0,2
175,1-229-04757-3,1
175,1-00-166641-0,4
175,0-18-258946-3,4
175,0-458-05510-7,1
176,1-4407-1966-7,3
176,0-8153-0450-1,2
176,0-248-44413-1,2
176,1-04-310548-4,3
176,1-4083-0399-X,4
176,1-5437-3256-9,2
176,1-4457-9816-6,3
176,0-87173-237-8,3
176,1-67777-184-4,1
177,0-05-597353-1,3
177,1-4457-9816-6,1
177,1-4467-6096-0,1
177,0-8216-5501-9,2
177,1-4274-3175-2,4
177,0-7127-8604-X,2
177,0-682-99878-8,2
177,0-88310-438-5,3
178,1-59157-301-7,2
178,1-4476-3417-9,1
178,0-383-11312-1,3
178,1-4257-3976-8,2
178,1-965813-56-9,1
179,0-14-678009-4,4
179,0-668-16718-1,1
179,0-7141-8546-9,2
179,1-160-77306-8,4
179,1-5339-0165-1,2
180,0-8153-0450-1,1
180,0-592-74293-8,4
180,1-5220-1394-6,4
180,0-682-99878-8,2
180,0-88310-438-5,2
180,1-69103-395-2,2
180,0-257-20790-2,3
180,1-184-45618-6,4
181,1-04-310548-4,1
181,0-232-08154-9,2
182,1-5437-3256-9,2
182,0-289-91901-0,2
183,1-66068-167-7,2
183,1-4274-3175-2,1
183,0-668-16718-1,4
183,0-311-52527-X,1
183,0-88310-438-5,3
183,0-8153-0450-1,4
183,1-278-82083-3,2
183,1-129-18864-7,4
183,1-69103-395-2,2
184,0-577-58554-1,3
184,1-933260-00-9,2
184,1-884638-12-0,3
184,1-227-05897-7,2
185,1-237-95200-X,4
185,0-311-52527-X,3
185,1-208-92581-4,1
