inv_id,acct_id,inv_total,inv_items,acct_age,num_inv_120d,cum_tot_inv_acct,is_late
92,3,89041.07,9,1093,16,18,0
93,3,176084.27,14,1315,15,51,0
94,3,17239.48,2,977,1,2,0
95,3,137500.42,17,983,2,3,0
96,3,22229.34,4,1284,17,49,0
97,3,88024.85,14,1014,7,8,0
98,3,228451.0,23,1036,8,9,0
99,3,115556.16,12,1202,21,39,0
100,3,236265.13,19,1135,17,26,0
101,3,9763.07,7,1156,21,30,0
102,3,39281.23,5,1080,16,17,0
103,3,29929.76,4,1109,17,21,0
104,3,56754.02,7,1318,16,52,0
105,3,30367.53,3,1076,13,14,0
106,3,51130.57,8,1175,21,32,0
107,3,55487.02,8,1224,24,44,0
108,3,237219.86,21,996,3,4,0
109,3,75542.72,6,1155,20,29,0
110,3,224793.53,14,1011,6,7,0
111,3,95786.14,7,1141,18,27,0
112,3,132023.57,14,1076,13,15,0
113,3,341336.26,25,1203,23,41,0
114,3,238596.43,20,1200,19,36,0
115,3,156883.53,11,1097,17,19,0
116,3,98494.54,14,1202,21,40,0
117,3,65026.49,9,1200,19,37,0
118,3,116207.86,16,1036,8,10,0
119,3,58523.31,6,1125,18,25,0
120,3,180784.82,16,1111,18,22,0
121,3,161969.0,17,1218,23,43,0
122,3,89719.33,12,1187,20,34,0
123,3,227228.22,20,1209,24,42,0
124,3,151073.86,14,1076,13,16,0
125,3,6206.69,2,1267,19,48,0
126,3,254781.2,24,1060,10,11,0
127,3,233080.97,22,1073,12,13,0
128,3,65993.6,8,1115,19,23,0
129,3,31919.02,5,1200,19,38,0
130,3,43349.97,3,1117,19,24,0
131,3,161699.8,17,1001,4,6,0
132,3,65627.0,5,1106,16,20,0
133,4,397712.75,28,1397,17,30,0
134,4,90061.24,10,1355,16,26,0
135,4,260231.72,22,1331,11,20,0
136,4,219543.8,18,1299,9,15,0
137,4,27552.05,4,1321,11,18,0
138,4,68224.42,12,1322,12,19,0
139,4,257731.99,26,1250,10,11,0
140,4,113365.6,12,1256,11,12,0
141,4,205520.28,22,1210,7,8,0
142,4,191222.47,27,1216,8,9,1
143,4,143692.6,12,1303,10,16,0
144,4,246370.34,21,1145,0,1,0
145,4,23967.44,5,1173,2,3,0
146,4,194777.13,20,1191,5,6,0
147,4,279700.0,28,1314,10,17,1
148,4,62916.74,9,1279,11,13,0
149,4,114844.34,12,1175,3,4,0
150,4,207358.25,21,1352,15,25,0
151,4,205793.04,17,1204,6,7,0
152,4,197900.35,18,1334,12,21,0
153,4,99225.85,8,1385,15,28,0
154,4,174152.48,24,1412,17,32,0
155,4,190021.79,17,1248,9,10,0
156,4,109659.67,10,1345,13,23,0
157,4,71919.39,6,1387,16,29,0
158,4,47097.5,7,1405,16,31,0
159,4,295162.24,24,1283,12,14,1
160,4,137668.24,7,1178,4,5,0
161,4,80519.91,13,1361,17,27,0
162,4,95038.41,14,1481,6,33,0
163,4,110624.51,13,1163,1,2,0
164,4,218120.96,22,1348,14,24,1
165,4,213269.16,22,1341,12,22,0
166,5,75655.38,12,871,4,5,0
167,5,160499.95,20,1169,16,53,1
168,5,17336.98,7,870,3,4,0
169,5,43961.06,6,1112,21,47,0
170,5,125927.37,12,1034,23,34,0
171,5,36880.53,7,1007,20,28,0
172,5,54121.41,6,947,16,17,0
173,5,76668.16,15,1040,23,35,0
174,5,130549.38,7,1041,24,36,0
175,5,102510.45,12,1023,21,32,0
176,5,162966.54,23,1009,21,29,1
177,5,179318.55,18,1031,22,33,0
178,5,32275.98,9,1121,20,48,0
179,5,163357.77,13,900,8,9,0
180,5,320322.39,22,1076,23,42,1
181,5,7996.1,3,1097,21,43,0
182,5,42710.62,4,1109,21,46,0
183,5,218344.45,23,926,11,12,1
184,5,73782.46,10,984,20,24,0
185,5,185648.51,16,840,1,2,0
186,5,22196.86,6,1176,16,54,0
187,5,173460.68,22,1107,20,45,1
188,5,63310.65,4,1060,26,39,0
189,5,92422.96,12,1069,23,41,0
190,5,146246.7,10,1017,21,30,0
191,5,272174.8,25,893,7,8,0
192,5,122324.95,10,995,20,27,0
193,5,140925.4,11,1197,15,58,0
194,5,98681.89,15,1056,25,38,1
195,5,297341.0,18,915,10,11,1
196,5,148984.03,15,1022,20,31,1
197,5,27966.95,14,946,15,16,0
198,5,59532.55,8,1187,14,55,0
199,5,62238.97,11,941,12,13,0
200,5,16336.71,5,879,6,7,0
201,5,63336.68,10,994,19,26,1
202,5,129981.84,11,873,5,6,0
203,5,108395.26,13,983,19,23,1
204,5,227151.33,18,964,16,19,1
205,5,134102.95,19,1145,16,49,1
206,5,69796.5,8,971,18,21,1
207,5,246452.49,25,944,13,14,1
208,5,103465.26,11,1194,15,57,0
209,5,277304.95,19,1187,14,56,0
210,5,211559.0,18,965,17,20,0
211,5,175351.55,22,855,2,3,1
212,5,168940.75,21,900,8,10,0
213,5,119397.74,12,1161,16,52,0
214,5,70896.54,15,1103,21,44,0
215,5,92558.8,15,991,20,25,1
216,5,129005.61,13,832,0,1,0
217,5,265761.53,22,1054,24,37,0
218,5,5862.69,6,1150,17,50,0
219,5,76622.47,11,944,13,15,0
220,5,86281.04,11,1159,16,51,0
221,5,123086.37,11,1062,26,40,0
222,5,156483.47,14,950,17,18,0
223,5,193327.01,22,978,18,22,1
224,6,275911.66,28,443,11,12,1
225,6,138681.29,19,750,11,49,1
226,6,240018.42,19,530,18,22,1
227,6,267263.81,25,422,6,7,1
228,6,138265.33,11,444,12,13,0
229,6,238016.5,19,621,16,36,1
230,6,53656.37,7,425,9,10,0
231,6,34338.78,7,659,17,41,0
232,6,343442.87,19,473,16,17,1
233,6,173897.1,24,587,16,32,1
234,6,252826.02,25,742,10,48,1
235,6,255431.75,17,588,17,33,1
236,6,164933.57,14,463,14,15,1
237,6,10090.46,4,385,0,1,0
238,6,83433.76,20,616,15,35,1
239,6,74070.51,12,687,20,45,0
240,6,77610.3,14,412,3,4,1
241,6,186252.85,17,431,10,11,1
242,6,77083.81,11,650,17,39,0
243,6,162727.56,12,677,17,42,0
244,6,192763.14,19,572,12,26,1
245,6,87045.14,10,409,2,3,1
246,6,124110.45,15,537,17,23,1
247,6,40007.42,6,480,17,18,0
248,6,98446.66,11,575,13,27,1
249,6,26549.78,7,583,16,31,0
250,6,194011.62,15,580,15,30,1
251,6,150365.22,19,483,18,19,1
252,6,29107.4,2,422,6,8,0
253,6,128715.85,14,682,18,43,1
254,6,219079.67,19,507,18,20,1
255,6,75062.68,9,554,12,24,0
256,6,154106.79,16,657,17,40,1
257,6,19598.6,7,393,1,2,0
258,6,150350.23,19,568,11,25,1
259,6,353272.18,27,469,15,16,1
260,6,122593.36,14,726,13,47,0
261,6,210625.71,25,686,19,44,1
262,6,63346.4,8,455,13,14,0
263,6,93106.47,12,578,13,28,0
264,6,13603.04,2,693,19,46,1
265,6,47332.76,4,579,14,29,0
266,6,20068.74,5,641,16,38,0
267,6,73215.39,4,424,8,9,0
268,6,251862.8,20,413,4,5,1
269,6,121698.91,9,419,5,6,0
270,6,144193.28,11,621,16,37,1
271,6,28362.18,4,509,19,21,0
272,6,56798.66,11,612,14,34,1
273,7,30404.5,5,1062,7,8,0
274,7,110605.43,11,1336,11,29,0
275,7,102434.59,9,1014,2,3,0
276,7,169893.01,13,1307,11,26,0
277,7,139102.86,12,1060,6,7,0
278,7,267353.03,21,1184,5,14,0
279,7,130891.02,16,1220,8,18,1
280,7,80716.88,11,1240,9,20,0
281,7,118156.52,13,1330,9,27,0
282,7,222395.1,18,1257,8,21,0
283,7,39248.03,3,1004,1,2,0
284,7,201350.94,16,1057,5,6,0
285,7,86861.99,7,1201,6,15,0
286,7,121155.64,18,1118,8,10,0
287,7,153791.08,15,1125,9,12,0
288,7,234412.78,22,1236,9,19,0
289,7,148487.2,13,1021,3,4,1
290,7,74266.46,5,1122,9,11,0
291,7,176615.72,13,1157,7,13,0
292,7,107910.27,7,1261,9,22,0
293,7,164038.55,12,1202,6,16,0
294,7,255747.58,21,987,0,1,1
295,7,150971.19,13,1081,8,9,0
296,7,183324.23,17,1334,10,28,1
297,7,141410.59,9,1204,7,17,0
298,7,129034.76,8,1274,10,23,0
299,7,105233.08,19,1283,10,24,0
300,7,145231.79,17,1022,4,5,0
301,7,149830.46,14,1306,10,25,0
302,8,120803.04,15,1256,10,44,0
303,8,34682.29,9,1124,20,30,0
304,8,253800.88,18,1117,22,29,0
305,8,217493.21,22,1113,20,27,0
306,8,95045.3,14,1295,14,52,0
307,8,368050.64,29,965,1,2,0
308,8,248933.04,26,1002,7,8,1
309,8,99970.74,7,1033,12,13,0
310,8,157991.6,11,1189,21,39,0
311,8,109228.26,13,1002,7,9,0
312,8,184158.73,21,1124,20,31,0
313,8,171615.27,17,972,2,3,0
314,8,132013.43,16,1310,14,54,0
315,8,177556.96,15,1027,11,12,0
316,8,194637.25,14,1301,14,53,0
317,8,283415.59,24,1020,10,11,0
318,8,222726.88,22,1084,18,20,0
319,8,115118.4,7,1151,21,34,0
320,8,255861.76,29,1083,17,19,0
321,8,172047.08,19,962,0,1,0
322,8,205002.11,24,1094,20,24,0
323,8,156660.9,7,1217,15,41,0
324,8,88370.84,14,1113,20,28,0
325,8,161999.55,13,992,5,6,0
326,8,134834.72,9,1290,14,51,0
327,8,113123.83,10,1134,22,33,0
328,8,50007.93,5,988,4,5,0
329,8,165073.47,9,1066,16,17,0
330,8,262769.67,23,1310,14,55,0
331,8,19547.44,4,1285,12,49,0
332,8,89637.69,7,1087,18,21,0
333,8,67177.17,6,1274,12,47,0
334,8,85002.19,17,1090,19,22,0
335,8,117717.2,10,1004,9,10,0
336,8,79967.78,12,1093,19,23,0
337,8,190359.73,19,1060,15,16,0
338,8,264915.23,20,1260,11,45,0
339,8,55394.22,7,1127,21,32,0
340,8,46179.15,4,1102,22,26,0
341,8,105214.53,11,1230,15,42,0
342,8,93170.35,11,1094,20,25,0
343,8,122659.69,17,1249,10,43,0
344,8,86933.65,17,1278,13,48,0
345,8,6620.28,3,1208,18,40,0
346,8,26042.13,10,1287,13,50,0
347,8,54057.68,7,1075,17,18,0
348,8,27613.08,6,1036,13,14,0
349,8,240784.88,15,986,3,4,0
350,8,272476.07,21,1262,12,46,0
351,8,162636.16,13,1000,6,7,0
352,8,222672.29,26,1170,21,37,0
353,8,216361.23,23,1040,14,15,0
354,8,133626.7,16,1159,20,35,0
355,8,238467.65,20,1161,20,36,0
356,8,160904.82,14,1177,22,38,0
357,9,97708.79,9,1172,1,4,0
358,9,340500.59,27,1098,0,3,1
359,9,87148.66,7,895,0,1,0
360,9,217092.55,21,1183,2,5,1
361,9,179503.42,12,922,1,2,0
362,9,45802.45,7,1183,2,6,0
363,10,69101.47,9,782,16,17,0
364,10,151254.93,20,769,8,9,0
365,10,67586.16,11,878,26,33,0
366,10,265862.91,20,918,19,40,0
367,10,165494.41,22,740,2,3,0
368,10,293770.1,26,793,18,19,0
369,10,120847.39,15,889,26,35,0
370,10,197451.05,20,1071,14,65,0
371,10,155396.29,10,983,24,54,0
372,10,26651.82,7,807,22,23,0
373,10,96529.48,12,1082,18,69,0
374,10,106612.41,12,862,25,29,0
375,10,126610.2,8,940,22,48,0
376,10,62973.52,5,928,20,44,0
377,10,178092.2,16,1063,15,64,0
378,10,43639.88,6,794,19,20,0
379,10,112947.8,13,812,24,25,0
380,10,90998.92,9,827,25,26,0
381,10,156680.35,18,934,21,47,0
382,10,336611.18,24,781,15,16,0
383,10,101431.21,10,1086,22,73,0
384,10,172910.6,19,758,6,7,0
385,10,272935.8,17,1058,14,62,0
386,10,129710.54,9,739,1,2,0
387,10,15049.23,4,742,3,4,0
388,10,243550.74,23,929,21,45,0
389,10,212173.35,23,746,4,5,0
390,10,48630.24,4,779,12,13,0
391,10,45677.75,3,1060,15,63,0
392,10,64143.37,13,1085,21,72,0
393,10,230387.38,14,924,20,43,0
394,10,55068.25,13,1084,20,71,0
395,10,90943.32,13,943,23,49,0
396,10,168386.2,15,998,23,56,0
397,10,130165.33,15,809,23,24,0
398,10,163150.88,21,950,23,50,0
399,10,92813.78,15,898,23,36,0
400,10,34378.61,4,1034,20,60,0
401,10,121362.04,14,901,21,37,0
402,10,38443.29,4,979,24,53,0
403,10,100223.73,12,780,13,14,0
404,10,51400.72,6,1007,22,57,0
405,10,211705.67,25,782,16,18,0
406,10,285490.75,24,885,25,34,0
407,10,68568.0,8,1095,22,75,0
408,10,41521.5,6,855,27,28,0
409,10,68729.45,5,735,0,1,0
410,10,144230.58,14,773,10,11,0
411,10,33689.33,4,849,26,27,0
412,10,52893.0,5,911,20,39,0
413,10,7910.76,8,773,10,12,0
414,10,100265.2,12,970,23,51,0
415,10,196189.46,20,867,23,30,0
416,10,219604.84,18,870,24,31,0
417,10,97838.85,13,746,4,6,0
418,10,60056.65,9,801,21,22,0
419,10,9595.72,2,770,9,10,0
420,10,164775.63,21,780,13,15,0
421,10,248176.0,22,1083,19,70,0
422,10,215196.56,15,973,24,52,0
423,10,86214.17,9,1076,15,66,0
424,10,150283.79,16,986,25,55,0
425,10,99118.27,10,1091,22,74,0
426,10,90970.77,8,798,20,21,0
427,10,174609.99,20,763,7,8,0
428,10,9399.89,5,1007,22,58,0
429,10,196950.46,23,874,25,32,0
430,10,174121.26,11,1081,17,68,0
431,10,107263.78,13,930,21,46,0
432,10,54878.39,13,1018,23,59,0
433,10,250373.15,21,920,19,41,0
434,10,80615.4,6,901,21,38,0
435,10,123075.08,19,1076,15,67,0
436,10,305552.28,27,921,20,42,0
437,10,61063.75,15,1057,13,61,0
438,11,208452.87,21,832,15,39,0
439,11,239230.84,20,663,12,13,0
440,11,228346.69,16,785,17,31,0
441,11,139851.02,12,672,14,15,0
442,11,274620.39,24,748,17,25,0
443,11,173816.74,15,611,4,5,0
444,11,154866.42,15,645,7,8,0
445,11,244050.75,22,902,16,47,0
446,11,97973.7,10,701,18,20,0
447,11,73158.49,14,763,20,28,0
448,11,80918.44,12,711,19,23,0
449,11,35758.49,7,669,13,14,0
450,11,134855.0,15,762,19,27,0
451,11,82649.97,11,708,19,22,0
452,11,134270.64,13,652,8,9,0
453,11,175934.82,21,695,16,17,0
454,11,189064.98,18,706,18,21,0
455,11,20173.93,4,819,18,37,0
456,11,43242.57,6,829,15,38,0
457,11,167793.01,19,608,3,4,0
458,11,181864.68,23,896,13,44,0
459,11,278221.45,28,662,10,11,0
460,11,124416.97,11,789,19,33,0
461,11,115301.2,16,695,16,18,0
462,11,389557.17,25,846,16,41,0
463,11,56271.3,10,583,1,2,0
464,11,78358.51,8,925,14,51,0
465,11,114440.28,10,876,16,42,0
466,11,159837.48,17,613,5,6,0
467,11,196558.88,19,903,17,48,0
468,11,250448.71,17,626,6,7,0
469,11,52758.6,6,844,15,40,0
470,11,136954.82,10,793,18,34,0
471,11,100586.86,9,662,10,12,0
472,11,128826.39,12,765,21,29,0
473,11,161753.03,16,653,9,10,0
474,11,15735.27,2,589,2,3,0
475,11,226472.2,25,675,15,16,0
476,11,197093.28,13,897,14,45,0
477,11,111652.63,10,774,19,30,0
478,11,298848.18,15,804,19,36,0
479,11,369223.03,27,786,18,32,0
480,11,161116.16,17,757,18,26,0
481,11,88417.14,10,921,14,50,0
482,11,89694.85,13,576,0,1,0
483,11,48767.94,6,900,15,46,0
484,11,142255.28,13,883,15,43,0
485,11,16273.66,5,700,17,19,0
486,11,245662.22,20,793,18,35,0
487,11,137706.35,8,914,13,49,0
488,11,201340.98,15,718,20,24,0
489,12,179474.59,14,1193,14,26,0
490,12,26675.2,6,1171,13,25,0
491,12,107410.76,13,1294,10,36,0
492,12,326854.52,20,986,2,3,0
493,12,236503.39,20,1283,11,35,0
494,12,253456.68,18,1121,12,19,0
495,12,115018.35,20,1009,6,7,0
496,12,189862.0,22,1119,10,17,1
497,12,225345.73,16,1152,13,23,0
498,12,95904.96,13,975,1,2,0
499,12,99194.93,7,1324,10,37,0
500,12,63063.46,11,1247,12,33,0
501,12,154866.56,23,1087,13,14,0
502,12,152036.34,18,1241,12,31,0
503,12,92631.75,14,1122,13,20,0
504,12,179661.99,22,1032,9,10,0
505,12,27259.86,3,968,0,1,0
506,12,183935.56,20,1327,12,39,0
507,12,188714.18,20,1146,12,21,0
508,12,142583.73,12,991,4,5,0
509,12,128286.18,10,1119,10,18,0
510,12,178084.24,20,1221,11,27,0
511,12,98180.84,13,1021,7,8,0
512,12,193728.24,17,997,5,6,0
513,12,154720.76,19,1239,13,30,0
514,12,201565.63,14,1084,11,12,0
515,12,35922.38,3,1325,11,38,0
516,12,155152.22,13,1041,10,11,1
517,12,222562.4,19,1028,8,9,0
518,12,8642.27,2,990,3,4,0
519,12,57471.75,13,1244,11,32,0
520,12,79073.11,8,1267,12,34,0
521,12,50607.88,6,1109,12,16,0
522,12,61497.33,6,1084,11,13,0
523,12,126049.39,7,1148,13,22,0
524,12,130998.07,14,1100,12,15,0
525,12,25023.34,7,1163,12,24,0
526,12,245930.73,18,1232,11,28,0
527,12,83410.55,18,1238,12,29,0
528,13,104181.32,12,581,18,27,0
529,13,192612.31,23,506,18,19,0
530,13,131683.06,19,618,17,33,0
531,13,74206.34,7,496,14,15,0
532,13,55027.77,8,475,9,10,0
533,13,171417.7,13,504,16,17,0
534,13,80207.52,11,442,2,3,0
535,13,203408.78,20,488,12,13,0
536,13,74212.12,8,632,14,35,0
537,13,88103.29,12,498,15,16,0
538,13,26693.77,8,545,20,22,0
539,13,76904.17,7,495,13,14,0
540,13,220632.21,19,661,16,38,0
541,13,170851.88,18,752,20,55,0
542,13,44234.77,6,655,15,37,0
543,13,103322.4,14,608,18,31,0
544,13,92784.66,10,559,21,24,0
545,13,157026.65,15,511,19,20,0
546,13,216215.81,15,430,1,2,0
547,13,90021.37,11,715,22,51,0
548,13,240341.56,22,729,20,52,0
549,13,30657.11,9,694,21,48,0
550,13,243097.51,18,685,19,45,0
551,13,27177.73,4,636,15,36,0
552,13,36868.64,9,444,3,4,0
553,13,195975.61,20,687,19,46,0
554,13,140528.54,17,592,19,28,0
555,13,31106.01,4,451,4,5,0
556,13,316397.97,25,565,21,26,0
557,13,121317.53,7,400,0,1,0
558,13,197116.61,21,742,19,54,0
559,13,181045.83,25,550,21,23,0
560,13,225763.22,19,671,19,43,0
561,13,141155.41,15,662,18,40,0
562,13,115940.09,7,666,19,42,0
563,13,74307.3,5,665,19,41,0
564,13,84397.21,9,730,21,53,0
565,13,195794.82,10,458,7,8,0
566,13,281929.6,22,661,16,39,0
567,13,158169.12,23,693,20,47,0
568,13,32442.02,4,606,17,30,0
569,13,184046.37,25,472,8,9,0
570,13,134516.57,20,453,5,6,0
571,13,259251.5,18,564,21,25,1
572,13,172243.27,18,711,22,50,0
573,13,133387.83,15,454,6,7,0
574,13,145602.45,11,505,17,18,0
575,13,137776.67,12,480,11,12,0
576,13,63464.49,6,699,22,49,0
577,13,205734.35,26,621,17,34,0
578,13,105723.67,9,596,18,29,0
579,13,223437.51,17,527,19,21,0
580,13,120326.62,16,615,18,32,0
581,13,215657.61,19,683,19,44,0
582,13,144871.2,11,479,10,11,0
583,14,104459.58,10,548,0,1,1
584,14,141449.53,15,832,3,8,1
585,14,122168.49,13,744,3,6,1
586,14,219446.66,21,836,4,9,1
587,14,262256.04,23,706,1,4,1
588,14,172469.7,13,737,2,5,1
589,14,293789.31,26,769,4,7,1
590,14,105789.01,18,870,3,10,1
591,14,79141.74,8,680,1,3,1
592,14,39702.69,3,568,1,2,1
593,15,56471.57,7,1203,22,42,0
594,15,90936.27,8,1031,6,7,0
595,15,147326.29,11,1188,20,38,0
596,15,80458.05,11,1019,4,5,0
597,15,126073.65,19,1033,7,8,0
598,15,71009.0,14,1091,20,21,0
599,15,54130.4,11,1084,19,20,0
600,15,291992.57,25,1287,32,65,0
601,15,79495.01,13,1040,12,13,0
602,15,155389.54,13,1105,25,26,0
603,15,49040.64,15,1315,29,70,0
604,15,155042.69,15,1037,9,10,1
605,15,159098.09,22,986,0,1,0
606,15,101881.46,11,1177,17,33,0
607,15,168257.04,15,1298,35,69,0
608,15,80186.04,9,1183,19,36,0
609,15,120989.22,6,1237,26,53,0
610,15,410846.46,25,1207,23,44,0
611,15,153448.73,17,1213,24,48,0
612,15,186456.81,15,1063,16,17,0
613,15,60455.03,5,1045,13,14,0
614,15,167078.18,20,1256,30,57,0
615,15,146127.51,16,1091,20,22,0
616,15,80590.82,16,1236,25,52,1
617,15,110877.77,8,1038,11,12,0
618,15,172813.72,17,1266,33,60,0
619,15,176347.08,16,1160,16,29,0
620,15,81934.8,12,1028,5,6,0
621,15,282674.03,27,1274,35,64,0
622,15,192526.47,23,1184,19,37,1
623,15,43406.78,5,1347,25,76,0
624,15,147572.07,15,1182,18,35,0
625,15,79003.55,9,1347,25,77,0
626,15,248076.21,21,1203,22,43,0
627,15,154226.46,11,1192,21,40,0
628,15,116318.01,11,1262,32,59,0
629,15,175452.85,14,1291,33,66,0
630,15,42650.48,4,1037,9,11,0
631,15,141789.35,13,1016,3,4,0
632,15,55279.11,5,1099,23,24,0
633,15,140086.1,17,1238,27,54,0
634,15,45859.04,5,1166,16,31,0
635,15,26762.41,4,1146,21,27,0
636,15,31599.46,4,1233,24,51,0
637,15,124080.93,11,1269,33,62,0
638,15,61249.69,15,1222,25,50,0
639,15,31397.86,7,1104,24,25,0
640,15,237175.86,21,1208,25,46,1
641,15,268041.56,27,1189,21,39,0
642,15,216852.69,20,1035,8,9,0
643,15,157631.99,20,1207,23,45,0
644,15,170132.81,11,1291,33,67,0
645,15,45291.6,5,1215,25,49,0
646,15,260340.88,14,1051,14,15,0
647,15,53897.85,9,1178,18,34,0
648,15,194075.1,21,1148,22,28,0
649,15,219286.99,22,1166,16,32,0
650,15,143947.77,13,1059,15,16,0
651,15,143124.15,12,1293,35,68,0
652,15,87626.08,14,1076,18,19,0
653,15,135271.49,18,1323,30,72,0
654,15,168386.37,20,1258,31,58,1
655,15,110266.09,12,1248,29,56,0
656,15,146349.79,24,1200,21,41,0
657,15,243759.4,23,1267,33,61,0
658,15,139061.83,24,1320,30,71,0
659,15,75734.7,4,1336,24,74,0
660,15,34269.08,7,1238,27,55,0
661,15,50967.7,6,1212,23,47,0
662,15,64803.02,6,1002,2,3,0
663,15,287945.53,17,1071,17,18,0
664,15,346195.03,25,1347,25,78,0
665,15,179968.56,19,1335,24,73,0
666,15,198927.75,19,1344,24,75,0
667,15,265696.08,30,1162,16,30,0
668,15,62378.55,13,1273,34,63,0
669,15,62847.27,11,988,1,2,0
670,15,144711.0,12,1091,20,23,0
671,16,227759.25,20,1025,25,49,0
672,16,14876.69,2,1079,24,58,0
673,16,86937.36,6,891,20,23,0
674,16,28533.64,5,1068,25,56,0
675,16,153733.71,16,1092,23,59,0
676,16,59637.07,10,922,17,26,0
677,16,153511.66,12,1005,21,42,0
678,16,73539.9,10,791,6,7,0
679,16,86501.1,13,1050,25,53,0
680,16,338753.55,24,769,1,2,0
681,16,273718.43,29,824,10,11,0
682,16,236881.85,22,1124,21,63,0
683,16,58044.29,5,1099,23,60,0
684,16,209248.28,18,778,3,4,0
685,16,140711.52,17,950,18,31,0
686,16,50252.39,4,774,2,3,0
687,16,175598.47,21,884,19,20,0
688,16,66320.78,5,917,17,25,0
689,16,142955.22,17,1112,22,62,0
690,16,100640.8,15,876,18,19,0
691,16,87262.12,8,1011,23,46,0
692,16,87648.5,9,984,20,38,0
693,16,16870.11,4,943,19,30,0
694,16,93337.21,7,826,11,12,0
695,16,9191.87,4,980,20,37,0
696,16,83308.47,7,808,9,10,0
697,16,58171.32,8,935,18,29,0
698,16,168094.26,16,831,12,13,0
699,16,164243.21,18,861,16,17,0
700,16,315108.0,23,1036,26,51,0
701,16,25708.42,5,890,19,22,0
702,16,170929.64,17,953,19,33,0
703,16,110841.07,9,848,13,14,0
704,16,160510.58,10,1064,24,55,0
705,16,80440.33,7,1043,25,52,0
706,16,141646.22,7,1104,23,61,0
707,16,102992.87,12,1006,22,43,0
708,16,43993.05,5,1018,23,47,0
709,16,193555.09,18,849,14,15,0
